"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,49.3733885776931,5.00982304766061
"2",2022-03-08 00:00:05,1,303,100,49.7235862534323,5.56579575341223
"3",2022-03-08 00:00:10,1,303,100,51.462748456071,5.17028665415538
"4",2022-03-08 00:00:15,1,303,100,48.7946436859277,4.70332552242242
"5",2022-03-08 00:00:20,1,303,100,50.5928476586128,5.20961486011343
"6",2022-03-08 00:00:25,1,303,100,51.4062574159567,4.97930624673353
"7",2022-03-08 00:00:30,1,303,100,50.2374800137148,5.58851772378504
"8",2022-03-08 00:00:35,1,303,100,50.3565285865013,4.77639533966771
"9",2022-03-08 00:00:40,1,303,100,50.6282927113153,6.06067484342887
"10",2022-03-08 00:00:45,1,303,100,50.2915872909179,5.24719934560272
"11",2022-03-08 00:00:50,1,303,100,51.3448008872291,5.21402862640072
"12",2022-03-08 00:00:55,1,303,100,50.8001253406582,4.92066219833456
"13",2022-03-08 00:01:00,1,303,100,51.356852745189,4.54654792271803
"14",2022-03-08 00:01:05,1,303,100,49.9366495031739,4.43258832701272
"15",2022-03-08 00:01:10,1,303,100,50.3012511601896,4.7716575868983
"16",2022-03-08 00:01:15,1,303,100,50.7118820569578,5.46976163949859
"17",2022-03-08 00:01:20,1,303,100,50.7246683031009,4.67781846668242
"18",2022-03-08 00:01:25,1,303,100,51.9949456295109,4.5852555713484
"19",2022-03-08 00:01:30,1,303,100,51.6333349865649,5.05535472431539
"20",2022-03-08 00:01:35,1,303,100,49.4706575654248,4.73031306939143
"21",2022-03-08 00:01:40,1,303,100,50.2866563875539,4.67306407748313
"22",2022-03-08 00:01:45,1,303,100,51.5288677232022,5.03358184935325
"23",2022-03-08 00:01:50,1,303,100,48.4955319212322,5.22403678896186
"24",2022-03-08 00:01:55,1,303,100,51.5231881697716,5.65785711378863
"25",2022-03-08 00:02:00,1,303,100,50.5655409047934,5.08832837848588
"26",2022-03-08 00:02:05,1,303,100,52.0818884169635,4.42844632859316
"27",2022-03-08 00:02:10,1,303,100,52.3720522714024,4.62685018249758
"28",2022-03-08 00:02:15,1,303,100,51.1195611894955,4.88200187430548
"29",2022-03-08 00:02:20,1,303,100,51.4693495699506,5.18702540553374
"30",2022-03-08 00:02:25,1,303,100,49.7092658970856,4.91317579880156
"31",2022-03-08 00:02:30,1,303,100,50.921595659269,4.62290329524581
"32",2022-03-08 00:02:35,1,303,100,52.0071009825952,5.0928698426195
"33",2022-03-08 00:02:40,1,303,100,51.9790897907069,5.08614789005993
"34",2022-03-08 00:02:45,1,303,100,51.6290990509222,5.40625668378468
"35",2022-03-08 00:02:50,1,303,100,50.623138358961,4.97111026946368
"36",2022-03-08 00:02:55,1,303,100,51.7413103017635,4.89563964915906
"37",2022-03-08 00:03:00,1,303,100,51.1957072827685,5.42691240192448
"38",2022-03-08 00:03:05,1,303,100,50.1482572941944,5.20774046083465
"39",2022-03-08 00:03:10,1,303,100,51.4927752158797,5.05456036159538
"40",2022-03-08 00:03:15,1,303,100,51.8127060335389,5.21789434658891
"41",2022-03-08 00:03:20,1,303,100,50.4468913799816,4.47586042909696
"42",2022-03-08 00:03:25,1,303,100,50.9043862225967,5.37168627039406
"43",2022-03-08 00:03:30,1,303,100,50.8135399716847,5.00242028703378
"44",2022-03-08 00:03:35,1,303,100,52.33747718025,4.92783852923011
"45",2022-03-08 00:03:40,1,303,100,51.523521737178,5.51684596403907
"46",2022-03-08 00:03:45,1,303,100,50.9956573292974,4.93075759002976
"47",2022-03-08 00:03:50,1,303,100,50.3112760205728,5.08263047544165
"48",2022-03-08 00:03:55,1,303,100,50.1611462583476,5.42118239467929
"49",2022-03-08 00:04:00,1,303,100,50.7569197669202,5.11267826548172
"50",2022-03-08 00:04:05,1,303,100,49.7000488168246,4.83186167656062
"51",2022-03-08 00:04:10,1,303,100,49.0737568009189,4.75318772234596
